227140	M095-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53663.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227144	M099-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48682.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227112	M051-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28287.0	0	11206.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227113	M052-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21764.0	0	11200.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445.0	0
227114	M053-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15129.0	0	9499.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517.0	0	157.0	0	0
227199	M188-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44824.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227245	M253-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40804.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227176	M151-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31123.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188.0	0	0	0	0	0	0	0	0	0
227172	M146-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58711.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227229	M237-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51516.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227111	M050-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19312.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26778.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227164	M132-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55111.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227235	M243-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56132.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227082	M016-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23386.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227077	M011-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21392.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14026.0	0	0	0	0	0	0
227138	M092-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10347.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227213	M210-24	0	0	0	0	0	0	0	345.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36359.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227133	M085-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59596.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227129	M081-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52714.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227223	M231-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3064.0	0	0	0	0	0	536.0	0	0	66595.0	0	0	0	0	0
227075	M008-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28042.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227250	M260-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46455.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227192	M177-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29248.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227149	M108-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36685.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227128	M078-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50931.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227189	M174-24	0	0	0	0	0	0	103112.0	0	0	0	0	0	0	0	0	0	0	0	0	0	670.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087.0	0	0	0	0	0	0	0	0	0	0	361.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227104	M043-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8992.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49323.0	0	0	0	0	0	0	0	0	0	0	0	0
227092	M026-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35823.0	0	0	0	0	0	0	0	0	0	0	0
227087	M021-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16575.0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		883-5383299-6786	883-968-914-976-1888	62750	699985	883-918-914-1888-925	2830-73289	883-2069	883-968-976-914	883-968-914-976-2069	883-70639-2523	64772	41/38854-709578-38924-42589-709564	2175343/742556-2175349-2175347-38924-32-2175346-2175355-1605972-2255074	62831-41-38924-71140-42589-32	5383252/370980-5383255-1611944	38854/41-38924	517-1147	38854-41-5383228-2326737-38924-5383230-5383234	517-714-21518-10189	557515-41	62831-41-71235-38924	62831-41-71235-42213	62831/41-71235-5383250-38924-42213	370980	5383257-41-38854-5383258	517-930095-1147	49062-49063-49065	49062-41-38924-49076-38854-42589	517-21518-4671	481304/41-38924-32	62831/41-49066-38924-38854-70933	49062-38924-41-49076	724903	62831-41-49066-747364-747403	517-8920	517-21518-714	347239	2175343-742556-2175349-32	869	517-714-1138-17506	2/32-1	25479-1584	41-38854	41-2	32-2	32-41-42593	62831-41-747403-747364-2175140-459361	517-4073	517-2-4	517-530	632-1-2	46606-46610-2	517-714-508681-10189-775-1138	517-869	62831-41-38924	62831-49066-459361-471738	481304-716962-38854-41-38924	1-2-69866-4-5	49062-38924	5383252	38854-2174703	1-2-69866-4-82-214-326-358-20	32-37	32-517	20940	1-2-69866-82-4-32-326-5	1611543	854-853-1674-933-132808	5383500	62706-69450	33556-483626	33556-483626-72448	5383377
Average defining sequence proportions and [stdev]		0.793[0.119]-0.109[0.122]-0.098[0.011]	0.870[0.022]-0.044[0.006]-0.036[0.005]-0.033[0.004]-0.017[0.008]	1.000[0.000]	1.000[nan]	0.902[nan]-0.046[nan]-0.029[nan]-0.018[nan]-0.005[nan]	0.598[nan]-0.402[nan]	0.960[nan]-0.040[nan]	0.855[nan]-0.058[nan]-0.046[nan]-0.041[nan]	0.885[nan]-0.045[nan]-0.031[nan]-0.029[nan]-0.010[nan]	0.596[nan]-0.290[nan]-0.114[nan]	1.000[nan]	0.356[0.082]/0.264[0.059]-0.165[0.041]-0.109[0.043]-0.064[0.020]-0.042[0.017]	0.272[0.051]/0.205[0.033]-0.143[0.035]-0.102[0.024]-0.055[0.010]-0.054[0.009]-0.050[0.011]-0.045[0.008]-0.039[0.007]-0.035[0.006]	0.667[0.092]-0.214[0.072]-0.038[0.018]-0.030[0.018]-0.027[0.008]-0.023[0.008]	0.584[0.242]/0.184[0.318]-0.154[0.079]-0.077[0.044]	0.533[0.409]/0.296[0.260]-0.171[0.172]	0.877[0.025]-0.123[0.025]	0.453[0.044]-0.118[0.028]-0.115[0.020]-0.101[0.015]-0.086[0.022]-0.078[0.007]-0.049[0.016]	0.800[0.029]-0.112[0.014]-0.057[0.019]-0.032[0.021]	0.871[0.058]-0.129[0.058]	0.545[0.051]-0.227[0.061]-0.144[0.048]-0.084[0.074]	0.557[0.063]-0.235[0.039]-0.159[0.079]-0.049[0.010]	0.322[0.076]/0.267[0.024]-0.155[0.034]-0.146[0.063]-0.060[0.015]-0.049[0.006]	1.000[0.000]	0.468[0.080]-0.222[0.040]-0.190[0.021]-0.119[0.025]	0.805[0.045]-0.098[0.056]-0.097[0.031]	0.833[0.061]-0.114[0.065]-0.052[0.011]	0.849[0.028]-0.065[0.016]-0.047[0.007]-0.015[0.004]-0.013[0.002]-0.012[0.004]	0.827[0.031]-0.138[0.019]-0.035[0.019]	0.587[0.226]/0.213[0.104]-0.122[0.091]-0.078[0.033]	0.414[0.246]/0.286[0.122]-0.195[0.148]-0.043[0.014]-0.034[0.022]-0.028[0.009]	0.899[0.053]-0.051[0.035]-0.034[0.015]-0.016[0.012]	1.000[0.000]	0.558[0.058]-0.155[0.091]-0.138[0.037]-0.080[0.047]-0.069[0.026]	0.751[0.065]-0.249[0.065]	0.934[0.001]-0.040[0.003]-0.026[0.004]	1.000[0.000]	0.475[0.132]-0.223[0.045]-0.192[0.057]-0.110[0.029]	1.000[0.000]	0.873[0.073]-0.077[0.060]-0.028[0.006]-0.021[0.007]	0.418[0.298]/0.395[0.365]-0.187[0.067]	0.568[nan]-0.432[nan]	0.894[nan]-0.106[nan]	0.595[nan]-0.405[nan]	0.944[nan]-0.056[nan]	0.504[nan]-0.390[nan]-0.106[nan]	0.523[nan]-0.216[nan]-0.148[nan]-0.066[nan]-0.036[nan]-0.011[nan]	0.911[nan]-0.089[nan]	0.410[nan]-0.377[nan]-0.213[nan]	0.988[nan]-0.012[nan]	0.649[nan]-0.194[nan]-0.157[nan]	0.699[nan]-0.225[nan]-0.077[nan]	0.474[nan]-0.319[nan]-0.076[nan]-0.066[nan]-0.040[nan]-0.026[nan]	0.849[nan]-0.151[nan]	0.708[nan]-0.258[nan]-0.034[nan]	0.679[nan]-0.194[nan]-0.078[nan]-0.048[nan]	0.604[nan]-0.209[nan]-0.104[nan]-0.052[nan]-0.030[nan]	0.423[nan]-0.303[nan]-0.145[nan]-0.104[nan]-0.025[nan]	0.939[nan]-0.061[nan]	1.000[nan]	0.893[nan]-0.107[nan]	0.307[nan]-0.267[nan]-0.109[nan]-0.107[nan]-0.103[nan]-0.033[nan]-0.025[nan]-0.025[nan]-0.024[nan]	0.789[nan]-0.211[nan]	0.677[nan]-0.323[nan]	1.000[nan]	0.348[nan]-0.260[nan]-0.104[nan]-0.102[nan]-0.080[nan]-0.062[nan]-0.024[nan]-0.020[nan]	1.000[nan]	0.520[nan]-0.225[nan]-0.115[nan]-0.095[nan]-0.045[nan]	1.000[nan]	0.837[nan]-0.163[nan]	0.773[0.023]-0.227[0.023]	0.729[0.046]-0.239[0.047]-0.032[0.001]	1.000[nan]
